Path,SensorConfig,GaitParam,Method,Participant,Mean Symmetry of Group,SimilarityScore
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P01,0.982015331,11.45183416
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P01,0.95500689,11.89454401
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P01,0.92926546,11.94209778
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P01,0.903379878,12.67460673
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P01,0.982015331,0.73858138
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P01,0.95500689,1.117752731
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P01,0.92926546,0.861719124
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P01,0.903379878,1.792283113
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.982015331161671 - 0.982015331161671,0.477974843
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.982015331161671 - 0.9550068901151256,0.4304272
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.982015331161671 - 0.929265459987738,0.412055696
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.982015331161671 - 0.9033798777261359,0.458746656
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P01,0.982015331,71.31916822
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P01,0.95500689,74.72649403
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P01,0.92926546,75.99430245
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P01,0.903379878,83.67107222
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P01,0.982015331,4.178192784
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P01,0.95500689,5.872117674
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P01,0.92926546,5.08651911
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,MDP,LLPU_P01,0.903379878,9.204698939
