FilePath,Sensor,GaitParam,Algorithm,Participant,X,Y
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P01,0.981426637,11.6046397
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P01,0.954408118,11.73024878
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P01,0.927964231,11.55663183
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P01,0.902795499,12.64202423
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P01,0.981426637,0.784333608
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P01,0.954408118,0.973024993
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P01,0.927964231,0.797706388
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P01,0.902795499,0.897744942
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.981 - 0.981,0.543567277
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.981 - 0.954,0.580000071
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.981 - 0.928,0.522368859
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.981 - 0.903,0.445812884
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P01,0.981426637,71.50241912
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P01,0.954408118,73.01823547
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P01,0.927964231,75.92601542
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P01,0.902795499,82.56141535
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P01,0.981426637,4.485842057
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P01,0.954408118,4.897137438
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P01,0.927964231,4.391759571
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P01,0.902795499,5.045380997
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P01,0.981 - 0.981,0.670588126
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P01,0.981 - 0.954,0.624712798
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P01,0.981 - 0.928,0.639895799
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P01,0.981 - 0.903,0.65933943
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P01,0.981426637,53.22247242
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P01,0.954408118,55.0211515
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P01,0.927964231,55.59104698
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P01,0.902795499,60.26455223
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P01,0.981426637,3.426588561
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P01,0.954408118,3.970390914
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P01,0.927964231,3.3813268
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P01,0.902795499,4.079148656
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P01,0.981 - 0.981,0.646775741
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P01,0.981 - 0.954,0.649754954
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P01,0.981 - 0.928,0.704528895
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P01,0.981 - 0.903,0.644112992
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P02,1.112952345,16.16341092
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P02,1.081950424,16.23576643
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P02,1.051489761,15.90388338
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P02,1.023546216,15.97677106
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P02,1.112952345,0.932992561
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P02,1.081950424,0.974558313
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P02,1.051489761,0.793326002
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P02,1.023546216,0.925102265
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.113 - 1.113,0.627360744
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.113 - 1.082,0.577386265
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.113 - 1.051,0.591855629
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.113 - 1.024,0.534342668
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P02,1.112952345,64.81760253
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P02,1.081950424,64.96605333
