FilePath,Sensor,GaitParam,Algorithm,Participant,X,Y
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P01,0.907304056,11.66815593
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P01,0.906196007,11.88034276
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P01,0.934061937,11.47329366
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P01,0.961844694,12.43141845
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P01,0.907304056,0.886383341
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P01,0.906196007,0.911534387
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P01,0.934061937,0.84026993
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P01,0.961844694,0.810179554
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.907 - 0.907,0.595964838
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.907 - 0.906,0.492832254
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.907 - 0.934,0.483927572
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,HMM-SM,LLPU_P01,0.907 - 0.962,0.463828816
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,DTW,LLPU_P01,0.907304056,79.14002037
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,DTW,LLPU_P01,0.906196007,81.05606657
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,DTW,LLPU_P01,0.934061937,77.98844805
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,DTW,LLPU_P01,0.961844694,84.10471205
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,MDP,LLPU_P01,0.907304056,5.133990544
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,MDP,LLPU_P01,0.906196007,5.052222169
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,MDP,LLPU_P01,0.934061937,5.146801415
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,MDP,LLPU_P01,0.961844694,4.989886377
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,HMM-SM,LLPU_P01,0.907 - 0.907,0.655314458
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,HMM-SM,LLPU_P01,0.907 - 0.906,0.64437728
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,HMM-SM,LLPU_P01,0.907 - 0.934,0.591798934
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,HMM-SM,LLPU_P01,0.907 - 0.962,0.587794965
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,DTW,LLPU_P01,0.907304056,55.48922082
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,DTW,LLPU_P01,0.906196007,56.87222183
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,DTW,LLPU_P01,0.934061937,56.66039704
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,DTW,LLPU_P01,0.961844694,59.84710555
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,MDP,LLPU_P01,0.907304056,3.889211758
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,MDP,LLPU_P01,0.906196007,4.221861821
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,MDP,LLPU_P01,0.934061937,3.798847188
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,MDP,LLPU_P01,0.961844694,3.880914335
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,HMM-SM,LLPU_P01,0.907 - 0.907,0.713791853
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,HMM-SM,LLPU_P01,0.907 - 0.906,0.737483119
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,HMM-SM,LLPU_P01,0.907 - 0.934,0.755783361
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,HMM-SM,LLPU_P01,0.907 - 0.962,0.679439049
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P02,1.022912364,14.74285627
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P02,1.02398064,15.08372191
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P02,1.049868343,14.79816654
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P02,1.078794593,15.71448947
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P02,1.022912364,0.87420104
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P02,1.02398064,0.860444643
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P02,1.049868343,0.912310395
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P02,1.078794593,0.913729526
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.023 - 1.023,0.656933376
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.023 - 1.024,0.629987658
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.023 - 1.05,0.646587078
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,HMM-SM,LLPU_P02,1.023 - 1.079,0.627095719
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,DTW,LLPU_P02,1.022912364,60.17441993
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,DTW,LLPU_P02,1.02398064,61.34713002
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,DTW,LLPU_P02,1.049868343,59.93667331
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,DTW,LLPU_P02,1.078794593,63.39488766
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,MDP,LLPU_P02,1.022912364,4.10566795
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,MDP,LLPU_P02,1.02398064,3.738301909
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,MDP,LLPU_P02,1.049868343,4.196150066
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,MDP,LLPU_P02,1.078794593,4.343756681
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,HMM-SM,LLPU_P02,1.023 - 1.023,0.73471943
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,HMM-SM,LLPU_P02,1.023 - 1.024,0.703444609
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,HMM-SM,LLPU_P02,1.023 - 1.05,0.687983167
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,upper,STSR,HMM-SM,LLPU_P02,1.023 - 1.079,0.678201497
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,DTW,LLPU_P02,1.022912364,41.49924805
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,DTW,LLPU_P02,1.02398064,41.8459133
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,DTW,LLPU_P02,1.049868343,41.6140287
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,DTW,LLPU_P02,1.078794593,44.40689465
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,MDP,LLPU_P02,1.022912364,3.102947745
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,MDP,LLPU_P02,1.02398064,2.893769512
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,MDP,LLPU_P02,1.049868343,3.142489517
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,MDP,LLPU_P02,1.078794593,3.387100155
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,HMM-SM,LLPU_P02,1.023 - 1.023,0.865344126
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,HMM-SM,LLPU_P02,1.023 - 1.024,0.790963698
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,HMM-SM,LLPU_P02,1.023 - 1.05,0.741504863
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,lower,STSR,HMM-SM,LLPU_P02,1.023 - 1.079,0.792505699
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P03,1.022484215,9.742027125
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P03,1.023056357,9.596731182
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P03,1.05253788,9.510446817
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,DTW,LLPU_P03,1.079895636,9.630187309
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P03,1.022484215,0.589524646
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P03,1.023056357,0.552289129
c:\GP-WearablesAnalysis\examples\logresults_16-07-24_19-52.csv,pelvis,STSR,MDP,LLPU_P03,1.05253788,0.557542203
